order,Progress,Duration (in seconds),Finished,Response ID,DistributionChannel - Distribution Channel,"consentement",gender,gender_TEXT,sexual_orientation,"sexual_orientation_5_TEXT ",age_1,"kids ","kids_2","activity - Etes-vous (en ce moment) ","pays ","pays_4_TEXT ","nationalite ",nationalite_text,"society_ladder_1 - 10","society_ladder_2 - - 9","society_ladder_3 -- 8","society_ladder_4 -- 7","society_ladder_5 -- 6","society_ladder_6 -- 5","society_ladder_7 -- 4","society_ladder_8 -- 3","society_ladder_9 -- 2","society_ladder_10 -- 1",alarm_timer_First Click - Timing - First Click,alarm_timer_Last Click - Timing - Last Click,alarm_timer_Page Submit - Timing - Page Submit,alarm_timer_Click Count - Timing - Click Count,desc_norm,"presc_norm_d - Sur une échelle de 1 (perturbation totale) à 7 (conformité totale), veuillez évaluer dans quelle mesure les solutions proposées par Essaim d'Alerte sont compatibles avec le fonctionnement de votre pays ?",high_control_1,high_control_2,high_control_3,high_control_4,high_control_5,high_control_6,high_control_7,high_control_8,high_control_9,high_control_10,high_control_11,high_control_12,high_control_13,high_control_14,high_control_15,high_control_16,high_control_17,high_control_18,high_control_19,high_control_20,high_control_21,high_control_22,control_low_1,control_low_2,control_low_3,control_low_4,control_low_5,control_low_6,control_low_7,control_low_8,control_low_9,control_low_10,control_low_11,control_low_12,control_low_13,control_low_14,control_low_15,control_low_16,control_low_17,control_low_18,control_low_19,control_low_20,control_low_21,control_low_22,sdo_french_1,sdo_french_2,sdo_french_3,sdo_french_4,sdo_french_5,sdo_french_6,sdo_french_7,sdo_french_8,sdo_french_9,sdo_french_10,sdo_french_11,sdo_french_12,sdo_french_13,sdo_french_14,sdo_french_15,sdo_french_16,sdo_DO_1,sdo_DO_2,sdo_DO_3,sdo_DO_4,sdo_DO_5,sdo_DO_6,sdo_DO_7,sdo_DO_8,sdo_DO_9,sdo_DO_10,sdo_DO_11,sdo_DO_12,sdo_DO_13,sdo_DO_14,sdo_DO_15,sdo_DO_16,edo,condrition_high_low_control,condrition_high_low_control_text,sdo_or_edo_first
19,100,638,1,R_dheQYlskaee0ESJ,anonymous,"1",2,,2,,57,"1",,"2","3",,"3",,"Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",124.874,124.874,126.407,1,29,"4",1,1,,1,,1,1,,,1,,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,1,5,4,5,4,4,4,6,3,4,4,4,15,7,1,8,16,2,6,4,12,13,10,5,9,14,11,3,1,1,high,sdo
360,100,667,1,R_1ezyzbxA4iUZqdE,anonymous,"1",1,,2,,40,"2","1","2","4","Canada","4",canadien,"Neutral","Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral",1.629,110.754,112.08,2,20,"3",1,,,,1,,1,1,,,,1,1,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,4,6,4,1,7,1,7,4,7,4,4,4,6,6,4,9,2,10,11,4,8,12,15,1,7,5,14,3,16,13,6,1,1,high,edo
510,100,205,1,R_7UHPnzC7sDD3MjL,anonymous,"1",2,,3,,23,"1",,"1","1",,"2",,"Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",0.587,2.271,2.794,2,41,"7",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,1,1,,1,1,1,1,,1,6,1,6,1,7,1,4,1,3,7,7,1,1,3,4,3,5,4,2,7,13,14,11,9,1,16,15,12,8,10,6,1,2,low,sdo
77,100,2040,1,R_1o5SmmDtm8uSDWt,anonymous,"1",1,,2,,51,"2","2","2","4","La Réunion ","2",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",18.933,170.199,171.19,18,60,"5",,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,,,1,1,,1,1,,1,,,1,7,1,7,1,7,1,6,1,6,7,7,4,3,4,4,3,8,15,5,4,10,16,9,13,2,6,7,1,12,11,14,1,2,low,sdo
523,100,771,1,R_1eY3FwyJ6C4WUKg,anonymous,"1",2,,2,,23,"1",,"2","1",,"1",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6.809,68.517,69.938,24,30,"5",,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,1,,,1,1,,1,,1,1,,,1,5,5,5,4,7,6,7,1,5,7,7,5,2,4,5,11,7,1,6,14,4,16,5,13,8,10,3,12,15,9,2,1,2,low,edo
310,100,1711,1,R_3MmRUWolhdSvpex,anonymous,"1",2,,,,80,"2","2","5","1",,"1",,"Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral",12.739,75.444,76.769,8,39,"4",,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,1,,,,,1,,1,,1,1,,1,3,5,3,5,3,6,4,6,12,4,5,5,4,6,7,5,9,10,3,6,16,4,14,1,8,13,11,12,7,2,15,5,1,2,low,sdo
17,100,626,1,R_29h0D4AqBxjQXl1,anonymous,"1",2,,2,,22,"1",,"1","2",,"2",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",1.811,89.478,90.452,34,45,"4",1,1,,1,1,1,1,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,5,1,7,1,6,1,7,7,7,4,2,7,5,1,16,6,8,15,12,10,14,11,5,13,3,2,9,4,7,1,1,high,edo
529,100,1128,1,R_r1iYJDAqQurHYJj,anonymous,"1",1,,3,,27,"1",,"1","1",,"4",Italy,"Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",330.127,330.127,331.065,1,20,"5",,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,,,1,1,1,,,,1,1,,1,6,1,7,6,7,2,7,12,7,7,7,6,3,6,5,10,16,9,2,13,12,14,8,3,1,4,15,6,5,7,11,1,2,low,edo
633,100,830,1,R_SSExOL1r4HyXZlf,anonymous,"1",2,,2,,22,"1",,"1","1",,"2",,"Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",7.598,236.363,237.241,17,23,"6",,1,,,1,1,1,,,,,1,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,5,7,1,5,1,7,7,7,5,6,5,6,9,7,15,16,4,8,5,10,14,3,2,1,11,12,6,13,1,1,high,sdo
29,100,1271,1,R_1kZZzR4rCFXz6Tr,anonymous,"1",2,,2,,76,"2","3","5","2",,"2",,"Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",53.478,218.982,221.188,7,60,"6",1,1,,1,,1,1,,,,,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,1,6,4,7,6,4,4,2,6,1,1,6,8,2,15,1,12,6,16,5,3,7,10,9,4,13,11,14,1,1,high,sdo
82,100,414,1,R_3LhG5Ax0ZYyyNjP,anonymous,"1",1,,2,,33,"1",,"2","1",,"2",,"Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",1.227,6.729,7.582,4,20,"6",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,,,1,,,1,1,1,,,6,2,7,4,7,4,4,3,4,4,4,7,5,6,4,7,9,15,5,4,11,3,6,13,12,2,7,14,8,16,10,1,1,2,low,edo
759,97,829,0,R_b9L4TDHxzWxxzNf,anonymous,"1",1,,2,,33,"2","2","2","2",,"2",,"Neutral","Neutral","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Neutral",3.863,101.231,104.544,29,,"8",1,1,,1,,1,,,1,,,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,1,7,4,1,1,6,4,6,4,1,6,7,4,1,6,8,7,2,11,16,5,14,9,13,10,15,12,3,1,1,high,edo
